,x,y,v,Subtypes,colors
0,0,0,DPRA1: Distribution of 0.25A,Transcript related,#fb9a99
1,0,1,LFIB1: Lipoaffinity index_3 distribution of 0.25B,Solubility lipoaffinity,#33a02c
2,0,2,SLFB1: Sum of path lengths starting from oxygens_3 distribution of 0.25B,Topological indice,#cab2d6
3,0,3,DPRA2: Distribution of 0.50A,Transcript related,#fb9a99
4,0,4,LFIB2: Lipoaffinity index_3 distribution of 0.50B,Solubility lipoaffinity,#33a02c
5,0,5,TPSC1: Topological polar surface area_3 distriCution of 0.25C,Topological indice,#cab2d6
6,0,6,DPRG1: Distribution of 0.25G,Transcript related,#fb9a99
7,0,7,LFIC1: Lipoaffinity index_3 distriCution of 0.25C,Solubility lipoaffinity,#33a02c
8,0,8,PHBC1: Potential Hydrogen Bonds_3 distriCution of 0.25C,Hydrogen bond related,#6a3d9a
9,0,9,SHDB1: Strong H-Bond donors distribution of 0.25B,Hydrogen bond related,#6a3d9a
10,0,10,LFIC2: Lipoaffinity index_3 distriCution of 0.50C,Solubility lipoaffinity,#33a02c
11,0,11,SHDB2: Strong H-Bond donors distribution of 0.50B,Hydrogen bond related,#6a3d9a
12,0,12,SLFA1: Sum of path lengths starting from oxygens_3 distribution of 0.25A,Topological indice,#cab2d6
13,0,13,DPRG0: Distribution of 0.00G,Transcript related,#fb9a99
14,0,14,LFIC0: Lipoaffinity index_3 distriCution of 0.00C,Solubility lipoaffinity,#33a02c
15,0,15,SHDB0: Strong H-Bond donors distribution of 0.00B,Hydrogen bond related,#6a3d9a
16,0,16,PHBC0: Potential Hydrogen Bonds_3 distriCution of 0.00C,Hydrogen bond related,#6a3d9a
17,0,17,PSNA0: Primary or secondary nitrogens distribution of 0.00A,Topological indice,#cab2d6
18,0,18,TPSC0: Topological polar surface area_3 distriCution of 0.00C,Topological indice,#cab2d6
19,0,19,LFIB0: Lipoaffinity index distribution of 0.00B,Solubility lipoaffinity,#33a02c
20,0,20,SLFB0: Sum of path lengths starting from oxygens_3 distribution of 0.00B,Topological indice,#cab2d6
21,0,21,SHAB0: Strong H-Bond acceptors_3 distribution of 0.00B,Hydrogen bond related,#6a3d9a
22,0,22,DPRA0: Distribution of 0.00A,Transcript related,#fb9a99
23,0,23,MLFA0: Linear free energy distribution of 0.00A,Hydrogen bond related,#6a3d9a
24,0,24,PHBA0: Potential Hydrogen Bonds_3 distribution of 0.00A,Hydrogen bond related,#6a3d9a
25,0,25,LFIB0: Lipoaffinity index_3 distribution of 0.00B,Solubility lipoaffinity,#33a02c
26,0,26,DPRT0: Distribution of 0.00T,Transcript related,#fb9a99
27,0,27,TPSB0: Topological polar surface area_3 distribution of 0.00B,Topological indice,#cab2d6
28,1,0,SHAB1: Strong H-Bond acceptors_3 distribution of 0.25B,Hydrogen bond related,#6a3d9a
29,1,1,LFIB1: Lipoaffinity index distribution of 0.25B,Solubility lipoaffinity,#33a02c
30,1,2,SHAB2: Strong H-Bond acceptors_3 distribution of 0.50B,Hydrogen bond related,#6a3d9a
31,1,3,LFIB2: Lipoaffinity index distribution of 0.50B,Solubility lipoaffinity,#33a02c
32,1,4,DPRA3: Distribution of 0.75A,Transcript related,#fb9a99
