,x,y,v,Subtypes,colors
0,0,0,TraAT: Transition between A and T,Transcript related,#CCB441
1,0,1,SLFBC: Sum of path lengths starting from oxygens_3 transition between B and C,Topological indice,#B4B044
2,0,2,LFI: Lipoaffinity index_3110,Solubility lipoaffinity,#D1963A
3,0,3,PCDAA: Parallel correlation PseDN composition of AA,Nucleotide related,#ED7D31
4,0,4,SHA: Strong H-Bond acceptors_3011,Hydrogen bond related,#FFC000
5,0,5,SCDAA: Series correlation PseDN composition of AA,Nucleotide related,#ED7D31
6,0,6,SHA: Strong H-Bond acceptors_3110,Hydrogen bond related,#FFC000
7,0,7,TraEK: Entropy density K on transcript,Transcript related,#CCB441
8,0,8,SLF: Sum of path lengths starting from oxygens_3110,Topological indice,#B4B044
9,0,9,LFICB: Lipoaffinity index_3 composition of B,Solubility lipoaffinity,#D1963A
10,0,10,ComRA: Composition of A,Transcript related,#CCB441
11,0,11,ORFEK: Entropy density K on ORF,Open reading frame,#BDC6CF
12,0,12,SHACB: Strong H-Bond acceptors_3 composition of B,Hydrogen bond related,#FFC000
13,0,13,TPSB0: Topological polar surface area_3 distribution of 0.00B,Topological indice,#B4B044
14,0,14,HPCC0: Gas-hexadecane PC_3 distriCution of 0.00C,Partition coefficient,#C6CEBA
15,0,15,PSNB0: Primary or secondary nitrogens distribution of 0.00B,Topological indice,#B4B044
16,0,16,SLFC0: Sum of path lengths starting from oxygens_3 distriCution of 0.00C,Topological indice,#B4B044
17,0,17,DPRT0: Distribution of 0.00T,Transcript related,#CCB441
18,0,18,MLFA0: Linear free energy distribution of 0.00A,Hydrogen bond related,#FFC000
19,0,19,SHAA0: Strong H-Bond acceptors_3 distribution of 0.00A,Hydrogen bond related,#FFC000
20,0,20,CNHB0: NH- count distribution of 0.00B,Molecular fingerprint,#9AB6D1
21,0,21,MLFB0: Linear free energy distribution of 0.00B,Hydrogen bond related,#FFC000
22,0,22,LFIA0: Lipoaffinity index distribution of 0.00A,Solubility lipoaffinity,#D1963A
23,0,23,SLFA0: Sum of path lengths starting from oxygens_3 distribution of 0.00A,Topological indice,#B4B044
24,0,24,SHDB0: Strong H-Bond donors distribution of 0.00B,Hydrogen bond related,#FFC000
25,0,25,TPSC0: Topological polar surface area_3 distriCution of 0.00C,Topological indice,#B4B044
26,0,26,PHBC0: Potential Hydrogen Bonds_3 distriCution of 0.00C,Hydrogen bond related,#FFC000
27,0,27,DPRG0: Distribution of 0.00G,Transcript related,#CCB441
28,1,0,PHB: Potential Hydrogen Bonds_3000,Hydrogen bond related,#FFC000
29,1,1,PHB: Potential Hydrogen Bonds_300,Hydrogen bond related,#FFC000
30,1,2,TraEI: Entropy density I on transcript,Transcript related,#CCB441
31,1,3,LFI: Lipoaffinity index_3011,Solubility lipoaffinity,#D1963A
32,1,4,TraEN: Entropy density N on transcript,Transcript related,#CCB441
33,1,5,LFI: Lipoaffinity index011,Solubility lipoaffinity,#D1963A
34,1,6,LFI: Lipoaffinity index110,Solubility lipoaffinity,#D1963A
35,1,7,SLF: Sum of path lengths starting from oxygens_3011,Topological indice,#B4B044
36,1,8,SHA: Strong H-Bond acceptors_3101,Hydrogen bond related,#FFC000
37,1,9,SLFCB: Sum of path lengths starting from oxygens_3 composition of B,Topological indice,#B4B044
38,1,10,ORFEN: Entropy density N on ORF,Open reading frame,#BDC6CF
39,1,11,LFICB: Lipoaffinity index composition of B,Solubility lipoaffinity,#D1963A
40,1,12,SLF: Sum of path lengths starting from oxygens_3101,Topological indice,#B4B044
41,1,13,SHA: Strong H-Bond acceptors_3200,Hydrogen bond related,#FFC000
42,1,14,SHA: Strong H-Bond acceptors_320,Hydrogen bond related,#FFC000
43,1,15,ORFEP: Entropy density P on ORF,Open reading frame,#BDC6CF
44,1,16,TraEP: Entropy density P on transcript,Transcript related,#CCB441
45,1,17,PHB: Potential Hydrogen Bonds_3011,Hydrogen bond related,#FFC000
46,1,18,LFIB0: Lipoaffinity index_3 distribution of 0.00B,Solubility lipoaffinity,#D1963A
47,1,19,LFIB0: Lipoaffinity index distribution of 0.00B,Solubility lipoaffinity,#D1963A
48,1,20,PHBA0: Potential Hydrogen Bonds_3 distribution of 0.00A,Hydrogen bond related,#FFC000
49,1,21,SHAB0: Strong H-Bond acceptors_3 distribution of 0.00B,Hydrogen bond related,#FFC000
50,1,22,TPSA0: Topological polar surface area_3 distribution of 0.00A,Topological indice,#B4B044
51,1,23,CNHA0: NH- count distribution of 0.00A,Molecular fingerprint,#9AB6D1
