,x,y,v,Subtypes,colors
0,0,0,LFIC0: Lipoaffinity index_3 distriCution of 0.00C,Solubility lipoaffinity,#D1963A
1,0,1,DPRC0: Distribution of 0.00C,Transcript related,#CCB441
2,0,2,PHBB0: Potential Hydrogen Bonds_3 distribution of 0.00B,Hydrogen bond related,#FFC000
3,0,3,DPRG0: Distribution of 0.00G,Transcript related,#CCB441
4,0,4,HPCB0: Gas-hexadecane PC distribution of 0.00B,Partition coefficient,#C6CEBA
5,0,5,SHAC0: Strong H-Bond acceptors_3 distriCution of 0.00C,Hydrogen bond related,#FFC000
6,0,6,PSNA0: Primary or secondary nitrogens distribution of 0.00A,Topological indice,#B4B044
7,0,7,TPSC0: Topological polar surface area_3 distriCution of 0.00C,Topological indice,#B4B044
8,0,8,SHDB0: Strong H-Bond donors distribution of 0.00B,Hydrogen bond related,#FFC000
9,0,9,PHBC0: Potential Hydrogen Bonds_3 distriCution of 0.00C,Hydrogen bond related,#FFC000
10,0,10,DPRA0: Distribution of 0.00A,Transcript related,#CCB441
11,0,11,PHBA0: Potential Hydrogen Bonds_3 distribution of 0.00A,Hydrogen bond related,#FFC000
12,0,12,LFIB0: Lipoaffinity index_3 distribution of 0.00B,Solubility lipoaffinity,#D1963A
13,0,13,SLFB0: Sum of path lengths starting from oxygens_3 distribution of 0.00B,Topological indice,#B4B044
14,0,14,SHAB0: Strong H-Bond acceptors_3 distribution of 0.00B,Hydrogen bond related,#FFC000
15,0,15,LFIB0: Lipoaffinity index distribution of 0.00B,Solubility lipoaffinity,#D1963A
16,0,16,MLFA0: Linear free energy distribution of 0.00A,Hydrogen bond related,#FFC000
17,0,17,HPCC0: Gas-hexadecane PC_3 distriCution of 0.00C,Partition coefficient,#C6CEBA
18,0,18,DPRT1: Distribution of 0.25T,Transcript related,#CCB441
19,0,19,TPSB1: Topological polar surface area_3 distribution of 0.25B,Topological indice,#B4B044
20,0,20,SLFC1: Sum of path lengths starting from oxygens_3 distriCution of 0.25C,Topological indice,#B4B044
21,0,21,DPRA2: Distribution of 0.50A,Transcript related,#CCB441
22,0,22,SHAB1: Strong H-Bond acceptors_3 distribution of 0.25B,Hydrogen bond related,#FFC000
23,0,23,LFIB1: Lipoaffinity index distribution of 0.25B,Solubility lipoaffinity,#D1963A
24,0,24,LFIB1: Lipoaffinity index_3 distribution of 0.25B,Solubility lipoaffinity,#D1963A
25,0,25,DPRA1: Distribution of 0.25A,Transcript related,#CCB441
26,0,26,HPCB1: Gas-hexadecane PC_3 distribution of 0.25B,Partition coefficient,#C6CEBA
27,0,27,PHBB1: Potential Hydrogen Bonds_3 distribution of 0.25B,Hydrogen bond related,#FFC000
28,1,0,LFI: Lipoaffinity index_3110,Solubility lipoaffinity,#D1963A
29,1,1,MLF: Linear free energy000,Hydrogen bond related,#FFC000
30,1,2,PHB: Potential Hydrogen Bonds_3000,Hydrogen bond related,#FFC000
31,1,3,MLF: Linear free energy00,Hydrogen bond related,#FFC000
32,1,4,TraAT: Transition between A and T,Transcript related,#CCB441
33,1,5,HPC: Gas-hexadecane PC_3220,Partition coefficient,#C6CEBA
34,1,6,HPC: Gas-hexadecane PC_3022,Partition coefficient,#C6CEBA
35,1,7,SCDGG: Series correlation PseDN composition of GG,Nucleotide related,#ED7D31
36,1,8,PSN: Primary or secondary nitrogens011,Topological indice,#B4B044
37,1,9,PSN: Primary or secondary nitrogens110,Topological indice,#B4B044
38,1,10,HPCB0: Gas-hexadecane PC_3 distribution of 0.00B,Partition coefficient,#C6CEBA
39,1,11,DPRT0: Distribution of 0.00T,Transcript related,#CCB441
40,1,12,PSNB0: Primary or secondary nitrogens distribution of 0.00B,Topological indice,#B4B044
41,1,13,SLFC0: Sum of path lengths starting from oxygens_3 distriCution of 0.00C,Topological indice,#B4B044
42,1,14,TPSB0: Topological polar surface area_3 distribution of 0.00B,Topological indice,#B4B044
43,1,15,HPCC2: Gas-hexadecane PC_3 distriCution of 0.50C,Partition coefficient,#C6CEBA
44,1,16,DPRT2: Distribution of 0.50T,Transcript related,#CCB441
45,1,17,SLFC2: Sum of path lengths starting from oxygens_3 distriCution of 0.50C,Topological indice,#B4B044
46,1,18,PSNB1: Primary or secondary nitrogens distribution of 0.25B,Topological indice,#B4B044
47,1,19,HPCC1: Gas-hexadecane PC_3 distriCution of 0.25C,Partition coefficient,#C6CEBA
48,1,20,SLFB2: Sum of path lengths starting from oxygens_3 distribution of 0.50B,Topological indice,#B4B044
49,1,21,LFIB2: Lipoaffinity index_3 distribution of 0.50B,Solubility lipoaffinity,#D1963A
50,1,22,SHAB2: Strong H-Bond acceptors_3 distribution of 0.50B,Hydrogen bond related,#FFC000
51,1,23,LFIB2: Lipoaffinity index distribution of 0.50B,Solubility lipoaffinity,#D1963A
52,1,24,SLFB1: Sum of path lengths starting from oxygens_3 distribution of 0.25B,Topological indice,#B4B044
53,1,25,DPRC1: Distribution of 0.25C,Transcript related,#CCB441
54,1,26,HPCB1: Gas-hexadecane PC distribution of 0.25B,Partition coefficient,#C6CEBA
55,1,27,SHAC1: Strong H-Bond acceptors_3 distriCution of 0.25C,Hydrogen bond related,#FFC000
56,2,0,LFI: Lipoaffinity index_3011,Solubility lipoaffinity,#D1963A
57,2,1,PHB: Potential Hydrogen Bonds_300,Hydrogen bond related,#FFC000
58,2,2,PCDAG: Parallel correlation PseDN composition of AG,Nucleotide related,#ED7D31
59,2,3,SLFBC: Sum of path lengths starting from oxygens_3 transition between B and C,Topological indice,#B4B044
60,2,4,TraEY: Entropy density Y on transcript,Transcript related,#CCB441
61,2,5,PCDGA: Parallel correlation PseDN composition of GA,Nucleotide related,#ED7D31
62,2,6,TPS: Topological polar surface area_3011,Topological indice,#B4B044
63,2,7,PCDGG: Parallel correlation PseDN composition of GG,Nucleotide related,#ED7D31
64,2,8,TraEF: Entropy density F on transcript,Transcript related,#CCB441
65,2,9,SLF: Sum of path lengths starting from oxygens_3220,Topological indice,#B4B044
66,2,10,SLF: Sum of path lengths starting from oxygens_3022,Topological indice,#B4B044
67,2,11,PSNCB: Primary or secondary nitrogens composition of B,Topological indice,#B4B044
68,2,12,ComRT: Composition of T,Transcript related,#CCB441
69,2,13,C3UTR: Coverage of 3 untranslated region,Transcript related,#CCB441
70,2,14,ORFIn: ORF integrity,Open reading frame,#BDC6CF
71,2,15,PSNB3: Primary or secondary nitrogens distribution of 0.75B,Topological indice,#B4B044
72,2,16,SLFC3: Sum of path lengths starting from oxygens_3 distriCution of 0.75C,Topological indice,#B4B044
73,2,17,TPSB2: Topological polar surface area_3 distribution of 0.50B,Topological indice,#B4B044
74,2,18,PSNB2: Primary or secondary nitrogens distribution of 0.50B,Topological indice,#B4B044
75,2,19,MLFA2: Linear free energy distribution of 0.50A,Hydrogen bond related,#FFC000
76,2,20,MLFA1: Linear free energy distribution of 0.25A,Hydrogen bond related,#FFC000
77,2,21,SLFB3: Sum of path lengths starting from oxygens_3 distribution of 0.75B,Topological indice,#B4B044
78,2,22,SHAB3: Strong H-Bond acceptors_3 distribution of 0.75B,Hydrogen bond related,#FFC000
79,2,23,DPRA3: Distribution of 0.75A,Transcript related,#CCB441
80,2,24,HPCB3: Gas-hexadecane PC_3 distribution of 0.75B,Partition coefficient,#C6CEBA
81,2,25,DPRC3: Distribution of 0.75C,Transcript related,#CCB441
82,2,26,HPCB2: Gas-hexadecane PC distribution of 0.50B,Partition coefficient,#C6CEBA
83,2,27,SHAC2: Strong H-Bond acceptors_3 distriCution of 0.50C,Hydrogen bond related,#FFC000
84,3,0,SLF: Sum of path lengths starting from oxygens_3011,Topological indice,#B4B044
85,3,1,SHA: Strong H-Bond acceptors_3011,Hydrogen bond related,#FFC000
86,3,2,TraEI: Entropy density I on transcript,Transcript related,#CCB441
87,3,3,SCDAG: Series correlation PseDN composition of AG,Nucleotide related,#ED7D31
88,3,4,SCDGA: Series correlation PseDN composition of GA,Nucleotide related,#ED7D31
89,3,5,SLF: Sum of path lengths starting from oxygens_3210,Topological indice,#B4B044
90,3,6,SLF: Sum of path lengths starting from oxygens_3021,Topological indice,#B4B044
91,3,7,TPS: Topological polar surface area_3110,Topological indice,#B4B044
92,3,8,HPC: Gas-hexadecane PC_3202,Partition coefficient,#C6CEBA
93,3,9,SLFCC: Sum of path lengths starting from oxygens_3 composition of C,Topological indice,#B4B044
94,3,10,TPS: Topological polar surface area_3101,Topological indice,#B4B044
95,3,11,TPSCB: Topological polar surface area_3 composition of B,Topological indice,#B4B044
96,3,12,SLF: Sum of path lengths starting from oxygens_3202,Topological indice,#B4B044
97,3,13,CNH: NH- count111,Molecular fingerprint,#9AB6D1
98,3,14,SHA: Strong H-Bond acceptors_300,Hydrogen bond related,#FFC000
99,3,15,DPRT3: Distribution of 0.75T,Transcript related,#CCB441
100,3,16,TPSB3: Topological polar surface area_3 distribution of 0.75B,Topological indice,#B4B044
101,3,17,HPCC3: Gas-hexadecane PC_3 distriCution of 0.75C,Partition coefficient,#C6CEBA
102,3,18,PHBA3: Potential Hydrogen Bonds_3 distribution of 0.75A,Hydrogen bond related,#FFC000
103,3,19,PHBA2: Potential Hydrogen Bonds_3 distribution of 0.50A,Hydrogen bond related,#FFC000
104,3,20,MLFA3: Linear free energy distribution of 0.75A,Hydrogen bond related,#FFC000
105,3,21,PHBA1: Potential Hydrogen Bonds_3 distribution of 0.25A,Hydrogen bond related,#FFC000
106,3,22,LFIB3: Lipoaffinity index_3 distribution of 0.75B,Solubility lipoaffinity,#D1963A
107,3,23,LFIB3: Lipoaffinity index distribution of 0.75B,Solubility lipoaffinity,#D1963A
108,3,24,PHBB3: Potential Hydrogen Bonds_3 distribution of 0.75B,Hydrogen bond related,#FFC000
109,3,25,HPCB3: Gas-hexadecane PC distribution of 0.75B,Partition coefficient,#C6CEBA
110,3,26,PHBB2: Potential Hydrogen Bonds_3 distribution of 0.50B,Hydrogen bond related,#FFC000
111,3,27,DPRC2: Distribution of 0.50C,Transcript related,#CCB441
112,4,0,SCDAA: Series correlation PseDN composition of AA,Nucleotide related,#ED7D31
113,4,1,LFI: Lipoaffinity index011,Solubility lipoaffinity,#D1963A
114,4,2,TraEN: Entropy density N on transcript,Transcript related,#CCB441
115,4,3,LFI: Lipoaffinity index_3101,Solubility lipoaffinity,#D1963A
116,4,4,LFI: Lipoaffinity index_310,Solubility lipoaffinity,#D1963A
117,4,5,HPC: Gas-hexadecane PC_302,Partition coefficient,#C6CEBA
118,4,6,HPC: Gas-hexadecane PC_3020,Partition coefficient,#C6CEBA
119,4,7,HPCAC: Gas-hexadecane PC_3 transition between A and C,Partition coefficient,#C6CEBA
120,4,8,HPC: Gas-hexadecane PC_320,Partition coefficient,#C6CEBA
121,4,9,PSN: Primary or secondary nitrogens101,Topological indice,#B4B044
122,4,10,HPCCC: Gas-hexadecane PC_3 composition of C,Partition coefficient,#C6CEBA
123,4,11,ORFEF: Entropy density F on ORF,Open reading frame,#BDC6CF
124,4,12,TraEV: Entropy density V on transcript,Transcript related,#CCB441
125,4,13,SHA: Strong H-Bond acceptors_3000,Hydrogen bond related,#FFC000
126,4,14,CNH: NH- count11,Molecular fingerprint,#9AB6D1
127,4,15,CNHCB: NH- count composition of B,Molecular fingerprint,#9AB6D1
128,4,16,SHAA2: Strong H-Bond acceptors_3 distribution of 0.50A,Hydrogen bond related,#FFC000
129,4,17,CNHB2: NH- count distribution of 0.50B,Molecular fingerprint,#9AB6D1
130,4,18,SHAA3: Strong H-Bond acceptors_3 distribution of 0.75A,Hydrogen bond related,#FFC000
131,4,19,MReB2: Molar refractivity distribution of 0.50B,Polarizability refractivity,#A0CF6D
132,4,20,HPCA2: Gas-hexadecane PC distribution of 0.50A,Partition coefficient,#C6CEBA
133,4,21,HPCA1: Gas-hexadecane PC distribution of 0.25A,Partition coefficient,#C6CEBA
